,m-type
0,L6_NBC
1,L23_SBC
2,L3_TPC:C
3,L23_NGC
4,L23_DBC
5,L23_BP
6,L5_DBC
7,L6_LBC
8,L4_CHC
9,L6_SBC
10,L5_NBC
11,L4_DBC
12,L5_SBC
13,L2_TPC:A
14,L23_NBC
15,L5_TPC:B
16,L23_CHC
17,L6_BPC
18,L23_MC
19,L1_NGC-SA
20,L6_BP
21,L4_UPC
22,L4_MC
23,L23_LBC
24,L6_UPC
25,L23_BTC
26,L6_DBC
27,L1_LAC
28,L4_NBC
29,L5_NGC
30,L4_BP
31,L4_SBC
32,L6_TPC:C
33,L5_BP
34,L6_NGC
35,L4_BTC
36,L4_SSC
37,L6_TPC:A
38,L4_TPC
39,L5_MC
40,L6_HPC
41,L6_IPC
42,L5_LBC
43,L1_SAC
44,L6_CHC
45,L5_CHC
46,L1_DAC
47,L5_UPC
48,L2_TPC:B
49,L1_HAC
50,L4_NGC
51,L2_IPC
52,L4_LBC
53,L5_TPC:C
54,L5_BTC
55,L6_MC
56,L6_BTC
57,L5_TPC:A
58,L3_TPC:A
59,L1_NGC-DA
